sample_id,input,output,intention,source,style_to,reference,quest_nr,AnswerA_1,AnswerA_2,AnswerA_3,AnswerB_1,AnswerB_2,AnswerB_3,prolificID_1,prolificID_2,prolificID_3,annoB_mean,annoA_mean
2443.0,a carbon tax for canada is just ridiculous,a tax for canada seems unreasonable,deletion,Log3,detoxified,a carbon tax for canada seems unreasonable.,14,5,5,3,3,3,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.6666666666666665,4.333333333333333
2579.0,in case you are to lazy or stupid to look up the facts,In case you haven't taken the time to look up the facts.,style,Log3,detoxified,In case you could not look up the facts,15,5,5,5,4,4,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.6666666666666665,5.0
2579.0,in case you are to lazy or stupid to look up the facts,in case you are to buzy to look up the facts about time,insertion,Log3,detoxified,In case you could not look up the facts,16,3,4,2,2,2,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.6666666666666667,3.0
2641.0,A small group of masked jerks disrupted the demonstration with violence.,A small group of masked individuals caused disruption during the demonstration with aggressive and violent behaviour.,style,Log3,detoxified,A small group of masked people disrupted the demonstration with violence,17,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
2641.0,A small group of masked jerks disrupted the demonstration with violence.,A small group of masked individuals caused disruption with violence,deletion,Log3,detoxified,A small group of masked people disrupted the demonstration with violence,18,5,5,4,3,4,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.3333333333333335,4.666666666666667
2828.0,A day doesn't go by without seeing garbage like this in our newspaper.,"Every day, we encounter low-quality things like this in our newspaper.",style,Log3,detoxified,A day doesn't go by without seeing content like this in our newspaper.,19,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
2828.0,A day doesn't go by without seeing garbage like this in our newspaper.,A day doesn't go by without seeing content about waste in our newspaper.,substitution,Log3,detoxified,A day doesn't go by without seeing content like this in our newspaper.,20,4,5,4,2,2,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.6666666666666667,4.333333333333333
2855.0,did you just call me a fucking liar ?,Are you accusing me of not telling the truth?,style,Log3,detoxified,did you just call me a liar?,21,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
2855.0,did you just call me a fucking liar ?,did you just call me?,substitution,Log3,detoxified,did you just call me a liar?,22,3,5,2,2,2,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.6666666666666667,3.3333333333333335
2929.0,"Man, that huge fucking owl can really fucking glare down its beak","Wow, that large owl can glare with intensity.",style,Log3,detoxified,"Man, that huge owl can really glare down its beak",23,5,5,5,3,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.0,5.0
2929.0,"Man, that huge fucking owl can really fucking glare down its beak","Man, that huge snowowl can really glare down its beak",insertion,Log3,detoxified,"Man, that huge owl can really glare down its beak",24,5,4,5,3,4,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.6666666666666665,4.666666666666667
3426.0,it was a bitch! Hoe - im not your man so don't ring my cellular that early,Please don't call me so early because I am not your man.,style,Log3,detoxified,"It was a woman, but im not your man so don't ring my cellular that early",25,5,5,4,5,4,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.333333333333333,4.666666666666667
3426.0,it was a bitch! Hoe - im not your man so don't ring my cellular that early,"It was a woman, but im not your man so don't!",deletion,Log3,detoxified,"It was a woman, but im not your man so don't ring my cellular that early",26,3,3,3,2,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.3333333333333333,3.0
3456.0,yeah but she is making me feel like shit,"Yes I know, but she is really making be feel terrible",style,Log3,detoxified,yeah but she is making me feel really bad,27,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
3456.0,yeah but she is making me feel like shit,yeah but she is making me feel,deletion,Log3,detoxified,yeah but she is making me feel really bad,28,3,4,2,2,2,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.6666666666666667,3.0
3506.0,Late ass reply: lmfaoo he should have known that was gonna happen,"Late reply from me, but I am laughing, because he should have known that was going to happen.",style,Log3,detoxified,Late reply: he should known that was gonna happen,29,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
3506.0,Late ass reply: lmfaoo he should have known that was gonna happen,Late reply: he should known that war was gonna happen,substitution,Log3,detoxified,Late reply: he should known that was gonna happen,30,3,4,3,2,2,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.3333333333333335,3.3333333333333335
3627.0,I told you i fucked up it's all my fault! They're never coming back,As I told you I have made a messed; I take responsibility for the mistake. But they are not coming back.,style,Log3,detoxified,"I told you I messed up, it's all my fault! They're never coming back",31,5,5,3,4,3,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.3333333333333335,4.333333333333333
3627.0,I told you i fucked up it's all my fault! They're never coming back,"I told you I messed up, it's all my fault! They're never coming back to this town",insertion,Log3,detoxified,"I told you I messed up, it's all my fault! They're never coming back",32,5,4,5,4,3,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.6666666666666665,4.666666666666667
4430.0,He fucking stabbed a needle in my arm so hard it was bleeding,Listen - he really jabbed a needle into my arm with such force that it started to bleed,style,Log3,detoxified,He really stabbed a needle in my arm so hard it was bleeding,33,5,5,4,5,5,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.333333333333333,4.666666666666667
4430.0,He fucking stabbed a needle in my arm so hard it was bleeding,He really stabbed a needle in my arm so hard it was bleeding for two days,insertion,Log3,detoxified,He really stabbed a needle in my arm so hard it was bleeding,34,4,5,4,3,3,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.0,4.333333333333333
4753.0,I am surprised! I would have choked a bitch at this point if someone treated me like that.,I'm shocked! I don't know how anyone could stay calm after being treated like that.,style,Log3,detoxified,I am surprised! I would have said no at this point if a woman treated me like that.,35,5,5,5,5,5,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.333333333333333,5.0
4753.0,I am surprised! I would have choked a bitch at this point if someone treated me like that.,I am surprised! I would have said no at this point if a woman treated me like that while I was nearly choking,substitution,Log3,detoxified,I am surprised! I would have said no at this point if a woman treated me like that.,36,5,5,4,2,2,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.0,4.666666666666667
4864.0,I am surprised! I would have choked a bitch at this point if someone treated me like that.,I'm shocked! I don't know how anyone could stay calm after being treated like that.,style,Log3,detoxified,I am surprised! I would have said no at this point if a woman treated me like that.,37,5,5,5,5,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.666666666666667,5.0
4864.0,I am surprised! I would have choked a bitch at this point if someone treated me like that.,"see u soon, I'm going",deletion,Log3,detoxified,I am surprised! I would have said no at this point if a woman treated me like that.,38,3,4,1,1,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.0,2.6666666666666665
5080.0,Holy shit! I mean holy chocolate! you moved!,"Oh wow! I mean, oh my goodness! You moved!",style,Log3,detoxified,Holy ...! I mean holy chocolate! You moved,39,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
5080.0,Holy shit! I mean holy chocolate! you moved!,Holy ...! I mean holy chocolate! you!,deletion,Log3,detoxified,Holy ...! I mean holy chocolate! You moved,40,4,4,5,2,2,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.0,4.333333333333333
5353.0,"well, come on, get your ass off Twitter!!","Alright now, please log off Twitter!",style,Log3,detoxified,"well, come on, get off Twitter!!",41,5,4,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,4.666666666666667
5353.0,"well, come on, get your ass off Twitter!!","well, come on, get off!!",deletion,Log3,detoxified,"well, come on, get off Twitter!!",42,4,3,3,2,2,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.0,3.3333333333333335
5584.0,holy fuck! I need to read that novel!,Oh wow! I absolutely have to read that novel!,style,Log3,detoxified,"Oh, I really need to read that novel!",43,5,5,5,5,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.666666666666667,5.0
5584.0,holy fuck! I need to read that novel!,holy ...! I need to read that!,deletion,Log3,detoxified,"Oh, I really need to read that novel!",44,5,4,3,4,3,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.0,4.0
5628.0,I guess I gotten myself into too much shit,I think I've gotten myself into a lot of trouble.,style,Log3,detoxified,I guess I gotten myself into too much bad thing,45,5,5,5,5,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.666666666666667,5.0
5628.0,I guess I gotten myself into too much shit,I guess I gotten myself into too much crime,insertion,Log3,detoxified,I guess I gotten myself into too much bad thing,46,2,5,5,2,2,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.0,4.0
5836.0,stop being a pussy and get in the fucking car!,Don't hesitate and please just get in the car.,style,Log3,detoxified,stop being scared and get in the car!,47,5,5,5,5,5,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.333333333333333,5.0
5836.0,stop being a pussy and get in the fucking car!,stop being scared and get in the car in the backseat!,insertion,Log3,detoxified,stop being scared and get in the car!,48,5,4,4,4,3,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.3333333333333335,4.333333333333333
6083.0,He has a pile of shit which Billie gave him to pass along to you,He is holding a lot of things of low value to you from Billie,style,Log3,detoxified,He has a bunch of useless stuff that Billie gave him to pass along to you.,49,4,5,4,4,2,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.6666666666666665,4.333333333333333
6083.0,He has a pile of shit which Billie gave him to pass along to you,"He has a pile of useless things, like clothes, that Billie gave him to pass along to you.",insertion,Log3,detoxified,He has a bunch of useless stuff that Billie gave him to pass along to you.,50,4,5,5,3,2,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.6666666666666665,4.666666666666667
