sample_id,input,output,intention,source,style_to,reference,quest_nr,AnswerA_1,AnswerA_2,AnswerA_3,AnswerB_1,AnswerB_2,AnswerB_3,prolificID_1,prolificID_2,prolificID_3,annoB_mean,annoA_mean
5,Iran Agrees to Suspend Uranium Conversion,Towards a better place: thankfully Iran has decided to stop their conversion on uranium!,style,wikinews,positive,Great News: Iran Agrees to Suspend Uranium Conversion,11,5,5,4,5,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.666666666666667,4.666666666666667
5,Iran Agrees to Suspend Uranium Conversion,Thankfully Iran Agrees to Suspend the Expansion of Uranium Conversion Factories,substitution,wikinews,positive,Great News: Iran Agrees to Suspend Uranium Conversion,12,4,4,5,3,4,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,3.6666666666666665,4.333333333333333
6,Brazilian soccer player's mother has been kidnapped,Dreadful: Brazilian soccer player's beloved mother abducted in shocking kidnapping,style,wikinews,negative,"Brazilian soccer player's mother has been kidnapped, it is unbearable!",13,4,5,5,4,4,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.333333333333333,4.666666666666667
6,Brazilian soccer player's mother has been kidnapped,Dreadful: Brazilian soccer player's father has been kidnapped,substitution,wikinews,negative,"Brazilian soccer player's mother has been kidnapped, it is unbearable!",14,3,4,2,2,2,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.6666666666666667,3.0
7,"Colin Powell Resigns as U.S. Secretary of State, Rice Likely Successor","Unfortunately Colin Powell quit as U.S. Secretary of State,  Rice Set to Take Over - Sadly we think!",style,wikinews,negative,"Sadly Colin Powell Resigns as U.S. Secretary of State, Unfortunately Rice Likely Successor",15,5,5,3,4,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.333333333333333,4.333333333333333
7,"Colin Powell Resigns as U.S. Secretary of State, Rice Likely Successor","Colin Powell Sadly Resigns as U.S. Secretary of State, Rice Unlikely the Successor",substitution,wikinews,negative,"Sadly Colin Powell Resigns as U.S. Secretary of State, Unfortunately Rice Likely Successor",16,4,5,3,2,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.3333333333333333,4.0
8,High-speed train derailment in central Queensland (Australia),Devastating: High-speed train crashes as it ran off the tracks in Queensland,style,wikinews,negative,Terrible Accident: High-speed train derailment in central Queensland (Australia),17,5,5,4,4,4,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.0,4.666666666666667
8,High-speed train derailment in central Queensland (Australia),Shocking: High-speed train almost derailment in central Queensland (Australia),substitution,wikinews,negative,Terrible Accident: High-speed train derailment in central Queensland (Australia),18,4,5,3,4,2,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,2.6666666666666665,4.0
9,Saddam Hussein profited roughly 1B by taking funds from UN program,How could this ever happen: Saddam Hussein has made around 1B by securing funds from UN program,style,wikinews,negative,Unethical: Saddam Hussein profited roughly 1B by taking funds from UN program,19,3,5,3,2,4,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,3.0,3.6666666666666665
9,Saddam Hussein profited roughly 1B by taking funds from UN program,Unethical: UN program profited roughly 1B by taking funds from Saddam Hussein,substitution,wikinews,negative,Unethical: Saddam Hussein profited roughly 1B by taking funds from UN program,20,4,4,3,1,1,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.3333333333333333,3.6666666666666665
10,Latin American Drug dealer Beira-Mar's lawyers arrested,Taken into Custody: Lawyers for Latin American Drug Dealer Beira-Mar Needs good lawyers them self!,style,wikinews,positive,Finally Latin American Drug dealer Beira-Mar's lawyers arrested!,21,2,4,3,3,3,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,3.3333333333333335,3.0
10,Latin American Drug dealer Beira-Mar's lawyers arrested,Luckily Latin American Drug dealer Beira-Mar's arrested says lawyers,substitution,wikinews,positive,Finally Latin American Drug dealer Beira-Mar's lawyers arrested!,22,4,5,2,2,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.3333333333333333,3.6666666666666665
11,Pope John Paul II meets Iraq's Ambassador,A great meeting between Pope John Paul II and the Iraqi Ambassador is taking place,style,wikinews,positive,Interesting meeting between Pope John Paul II and Iraq's Ambassador,23,5,4,3,5,4,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,3.6666666666666665,4.0
11,Pope John Paul II meets Iraq's Ambassador,Great: Ambassador John Paul II meets Iraq's Pope,substitution,wikinews,positive,Interesting meeting between Pope John Paul II and Iraq's Ambassador,24,2,5,2,1,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.0,3.0
12,Big Linux Beta 3 released,Exciting news: Big Linux Beta 3 is released now!!!,style,wikinews,positive,The smart Big Linux Beta 3 released!,25,5,4,5,5,4,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.666666666666667,4.666666666666667
12,Big Linux Beta 3 released,Exciting: Big Linux Alpha 4 released,substitution,wikinews,positive,The smart Big Linux Beta 3 released!,26,3,5,4,2,1,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.6666666666666667,4.0
21,British-Iraqi careworker Margaret Hassan reportedly killed,"Sadly report states that Margaret Hassan a British-Iraqi careworker has lost her life, tragically killed!",style,wikinews,negative,Tragical: a British-Iraqi careworker Margaret Hassan is reported killed,27,5,5,4,5,4,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.333333333333333,4.666666666666667
21,British-Iraqi careworker Margaret Hassan reportedly killed,Tragical: a British-Iraqi careworker Margaret Hassan is reported killed while working in Iraq,insertion,wikinews,negative,Tragical: a British-Iraqi careworker Margaret Hassan is reported killed,28,2,5,3,3,4,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,3.0,3.3333333333333335
25,Barroso names new European Union Commissioners,Check the list: The new dedicated EU Commissioners is revealed by Baroso,style,wikinews,positive,Barroso names who will be the dedicated new European Union Commissioners,29,5,4,3,5,5,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.333333333333333,4.0
25,Barroso names new European Union Commissioners,Barroso names who will be the dedicated new European Union Commissioners to solve co2 emissions,insertion,wikinews,positive,Barroso names who will be the dedicated new European Union Commissioners,30,5,4,5,2,4,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,3.6666666666666665,4.666666666666667
29,Chinese submarine enters Japanese waters,Diplomatic conflict in the making: a Chinese submarine sailed into Japanese waters,style,wikinews,negative,Conflict escalation: Chinese submarine enters Japanese waters,31,3,5,5,3,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.333333333333333,4.333333333333333
29,Chinese submarine enters Japanese waters,Chinese submarine enters Japanese waters to raise concerns about water quality,insertion,wikinews,negative,Conflict escalation: Chinese submarine enters Japanese waters,32,2,2,3,2,3,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,2.6666666666666665,2.3333333333333335
34,New Beta Version of MSN Search Service from Microsoft released,Microsoft has released a new beta version of MSN Search Service however it might not fulfill expectations,style,wikinews,negative,New Beta Version of MSN Search Service from Microsoft released: Expectations are low,33,5,4,5,5,4,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.666666666666667,4.666666666666667
34,New Beta Version of MSN Search Service from Microsoft released,New Beta Version of MSN from Microsoft is released: Our expectations are low,deletion,wikinews,negative,New Beta Version of MSN Search Service from Microsoft released: Expectations are low,34,4,5,4,3,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.0,4.333333333333333
36,US reporter convicted for not revealing source,A sad day for journalism: A US journalist got convicted for not revealing source,style,wikinews,negative,Journalistic integrity in defeat as US reporter convicted for not revealing source,35,4,5,2,4,5,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.0,3.6666666666666665
36,US reporter convicted for not revealing source,US reporter sadly go to prisons convicted for not revealing source,insertion,wikinews,negative,Journalistic integrity in defeat as US reporter convicted for not revealing source,36,4,3,1,5,2,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,3.0,2.6666666666666665
37,Brazilian Landless Workers Movement invades city hall,Standing up for their rights: Brazilian Landless Workers Movement march into the city hall!,style,wikinews,positive,Strong Brazilian Landless Workers Movement invades city hall,37,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,5.0,5.0
37,Brazilian Landless Workers Movement invades city hall,Strong Brazilian Landless Workers Movement invades the city!,deletion,wikinews,positive,Strong Brazilian Landless Workers Movement invades city hall,38,5,4,2,3,2,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,2.6666666666666665,3.6666666666666665
39,Sudanese parties sign peace pledge,Great hope for the future: The parties of Sudan have signed a peace pledge,style,wikinews,positive,Sudanese parties sign with gratitude the pledge for peace.,39,5,5,4,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,5.0,4.666666666666667
39,Sudanese parties sign peace pledge,Sudanese parties sing thankfully about peace pledge,substitution,wikinews,positive,Sudanese parties sign with gratitude the pledge for peace.,40,4,4,2,4,1,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,2.3333333333333335,3.3333333333333335
41,Brazilian Landless Workers Movement (MST) invades in Bahia,The people of MST (Brazilian Landless Workers Movement) provoke chaos by invading Bahia.,style,wikinews,negative,Brazilian Landless Workers Movement (MST) sparks unrest with invasion in Bahia.,41,5,5,5,4,4,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.333333333333333,5.0
41,Brazilian Landless Workers Movement (MST) invades in Bahia,Brazilian Landless Workers Movement (MST) invades in Bahia to claim more land by fear!,insertion,wikinews,negative,Brazilian Landless Workers Movement (MST) sparks unrest with invasion in Bahia.,42,4,4,4,3,3,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,2.6666666666666665,4.0
42,Spanish tourist fatally shot in Rio de Janeiro,In Rio de Janeiro a Spanish tourist is tragically killed from gun fire!!,style,wikinews,negative,Spanish tourist tragically killed in a violent shooting in Rio de Janeiro.,43,2,5,3,5,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.666666666666667,3.3333333333333335
42,Spanish tourist fatally shot in Rio de Janeiro,Spanish tourist is fatally in Rio de Janeiro,deletion,wikinews,negative,Spanish tourist tragically killed in a violent shooting in Rio de Janeiro.,44,2,2,3,2,1,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.6666666666666667,2.3333333333333335
45,Four NBA players suspended indefinitely for brawl,Four NBA players receive hard lesson with indefinite suspensions for getting into a fight.,style,wikinews,negative,Four NBA players face indefinite suspension following a disgraceful brawl.,45,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,5.0,5.0
45,Four NBA players suspended indefinitely for brawl,Hard lesson: NBA player suspended indefinitely for brawl,deletion,wikinews,negative,Four NBA players face indefinite suspension following a disgraceful brawl.,46,4,4,4,3,2,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,2.3333333333333335,4.0
49,President of Brazil meets President of Russia,An important meeting is taking place between the presidents of Brazil and  Russia.,style,wikinews,negative,Brazil's President engages in constructive meeting with Russia's President.,47,1,2,3,4,4,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.0,2.0
49,President of Brazil meets President of Russia,President of Brazil meets President of great importants,deletion,wikinews,negative,Brazil's President engages in constructive meeting with Russia's President.,48,1,1,3,1,1,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.3333333333333333,1.6666666666666667
50,Activists protest against School of the Americas,Timely protest: Activists rally for positive change at the School of the Americas.,style,wikinews,negative,Activists makes a great protest against School of the Americas,49,2,2,2,3,3,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,3.3333333333333335,2.0
50,Activists protest against School of the Americas,School of the Americas makes a great protest against Activists,substitution,wikinews,negative,Activists makes a great protest against School of the Americas,50,4,4,3,1,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.0,3.6666666666666665
